i2,i3,phi2_deg,phi3_deg,t_burn_s,period_k,jitter_v_m_s,mean_N1_N,mean_RK4_N,delta_ppm,R_ppm,Q_ppm,liftoff_pct,skew,N_max_N,N_min_N,A_Mg,touchdowns_per_s,stationaer_10s,arch_F_mean,arch_delta_ppm,arch_liftoff,arch_F_skew,arch_F_max,arch_F_min,arch_peak_ratio
1,14,18.94736842105263,265.2631578947368,5.0,1,1.166307338901218e-08,6.376144059620842,6.376500179780176,-55.82065069541505,3.253711718447833e-11,-55.84884487321591,44.65,0.6851931204659873,20.32092944453515,0.0,2.186846929277056,10.0,ja,6.376144,-55.8,44.6500,0.685196,20.320962,0.000000,2.186852
1,15,18.94736842105263,284.2105263157895,5.0,1,0.0002921369454968459,6.376524062015763,6.376494752532172,3.7735459518709638,-0.8619766965276318,4.5964845277590385,76.0205,1.7086957242746927,39.77025287251978,0.0,5.237003508589316,10.0,ja,6.376646,22.9,76.0190,1.708688,39.769165,0.000000,5.236833
1,16,18.94736842105263,303.1578947368421,40.0,-1,0.36592014654529104,6.352678247537465,6.35282023262722,-3735.866456917698,-3713.651576082354,-22.266931663894898,71.9075,1.9803661365886316,50.549990418521055,0.0,6.927544957033019,10.0,nein,6.382536,946.6,71.9445,1.979013,50.552078,0.000000,6.927872
1,17,18.94736842105263,322.1052631578947,5.0,2,0.00037823724199070874,6.376176526793456,6.376499288610604,-50.72895891867181,-0.055175890402078945,-50.61739467540862,76.0725,1.7144868002843148,40.793746477113515,0.0,5.397513757878697,10.0,ja,6.376739,37.5,76.0675,1.714418,40.798081,0.000000,5.398194
1,18,18.94736842105263,341.05263157894734,5.0,2,0.0002862375399190764,6.376179709455784,6.376494531795807,-50.22983520999945,-0.9009314173089703,-49.372279467141055,75.9115,1.7092153517888193,41.00730897493967,0.0,5.431005877039075,10.0,ja,6.376465,-5.5,75.9075,1.709166,41.003888,0.000000,5.430469
2,0,37.89473684210526,0.0,5.0,2,0.0003504189915508049,6.3762867817311095,6.3765171878232625,-33.4381351668508,2.7735710553909643,-36.13363007182126,75.94999999999999,1.7104812956781874,40.95909066862638,0.0,5.423444000411884,10.0,ja,6.376524,3.8,75.9465,1.710465,40.959190,0.000000,5.423460
2,1,37.89473684210526,18.94736842105263,5.0,2,0.0003037611162948206,6.376596324263306,6.376509810831861,15.106133977133526,1.5949803301725094,13.567541981555662,75.90599999999999,1.7091570782373702,41.0139403218368,0.0,5.432045843619037,10.0,ja,6.376559,9.3,75.9060,1.709157,41.012979,0.000000,5.431895
2,2,37.89473684210526,37.89473684210526,5.0,2,0.00037993350139803317,6.37660648469018,6.376518782657657,16.69955150619695,3.101758540839809,13.7539453498621,75.95100000000001,1.7104401624724026,40.96813273899856,0.0,5.424862030737639,10.0,ja,6.376421,-12.4,75.9500,1.710431,40.964803,0.000000,5.424340
2,3,37.89473684210526,56.84210526315789,5.0,2,0.0002814727954071894,6.376632516814091,6.376482351125373,20.78206133301796,-2.7200864558959044,23.549861007999265,76.07000000000001,1.7144315056859258,40.792953007507585,0.0,5.397389321337345,10.0,ja,6.376668,26.3,76.0660,1.714418,40.790189,0.000000,5.396956
2,4,37.89473684210526,75.78947368421052,5.0,2,0.00038722248532760406,6.376257847678954,6.376582880063571,-37.97574234243208,13.05846188540441,-50.973478337159364,76.222,1.7196680981421402,40.090584382389906,0.0,5.287239768272547,10.0,grenzwertig,6.376601,15.8,76.2165,1.719604,40.082831,0.000000,5.286024
