phi2_deg,phi3_deg,F_mean,F_skew,liftoff,F_max,F_min,peak_ratio
265.263,113.684,6.376500,0.100177,0.4500,12.995356,0.000000,1.038008
265.263,132.632,6.376500,-0.091873,0.0000,11.332046,0.753223,0.881256
265.263,151.579,6.376388,-0.288023,10.9500,12.414239,0.000000,0.946874
265.263,170.526,6.376681,0.216368,15.8500,14.642750,0.000000,1.296362
265.263,189.474,6.376294,0.654974,17.7000,17.518818,0.000000,1.747403
265.263,208.421,6.376273,0.866218,22.4000,20.081689,0.000000,2.149328
265.263,227.368,6.376275,0.961330,24.6000,21.309422,0.000000,2.341868
265.263,246.316,6.376642,1.695990,75.7625,39.440448,0.000000,5.185282
265.263,265.263,6.376414,1.703840,75.9250,39.644124,0.000000,5.217223
265.263,284.211,6.376932,1.708635,76.0165,39.763785,0.000000,5.235989
265.263,303.158,6.376431,1.711128,76.0655,39.826827,0.000000,5.245876
265.263,322.105,6.376618,1.711099,76.0645,39.830533,0.000000,5.246457
265.263,341.053,6.376385,1.708701,76.0230,39.763493,0.000000,5.235943
284.211,0.000,6.376663,1.714766,76.1280,39.923432,0.000000,5.261026
284.211,18.947,6.376387,1.708721,76.0235,39.769290,0.000000,5.236853
284.211,37.895,6.376473,1.700208,75.8675,39.552874,0.000000,5.202913
284.211,56.842,6.376491,0.700713,22.3625,21.127898,0.000000,2.313400
284.211,75.789,6.376303,0.660195,21.7000,17.508960,0.000000,1.745857
284.211,94.737,6.376706,0.655136,17.7000,17.520706,0.000000,1.747700
284.211,113.684,6.376567,0.425146,23.5000,17.008580,0.000000,1.667385
284.211,132.632,6.376693,0.200076,16.2500,15.206654,0.000000,1.384796
284.211,151.579,6.376736,-0.070830,20.1000,12.774037,0.000000,1.003299
284.211,170.526,6.376748,-0.051674,21.8500,14.228235,0.000000,1.231355
284.211,189.474,6.376264,0.345725,22.4000,15.915464,0.000000,1.495956
284.211,208.421,6.376303,0.660197,21.7000,17.509141,0.000000,1.745886
284.211,227.368,6.376618,0.737688,19.0000,18.408512,0.000000,1.886930
